Rk,Date,Competition,Round,Venue,Squad,Opponent,Start,Body Part,Minute,Score,Goalkeeper,Assist,Dorsal,Edad,Goal
371,31/01/2016,La Liga,Matchweek 22,Home,Real Madrid,Espanyol,Y,Left Foot,45,6-0,Giedrius Arlauskis,No assist,7,31,1
372,31/01/2016,La Liga,Matchweek 22,Home,Real Madrid,Espanyol,Y,Right Foot,12,6-0,Giedrius Arlauskis,Penalti,7,31,1
373,17/01/2016,La Liga,Matchweek 20,Home,Real Madrid,Sporting Gijón,Y,Left Foot,18,5-1,Iván Cuéllar,Dani Carvajal,7,30,1
374,17/01/2016,La Liga,Matchweek 20,Home,Real Madrid,Sporting Gijón,Y,Left Foot,9,5-1,Iván Cuéllar,Karim Benzema,7,30,1
375,30/12/2015,La Liga,Matchweek 17,Home,Real Madrid,Real Sociedad,Y,Left Foot,67,3-1,Gerónimo Rulli,Marcelo,7,30,1
376,30/12/2015,La Liga,Matchweek 17,Home,Real Madrid,Real Sociedad,Y,Right Foot,42,3-1,Gerónimo Rulli,Penalti,7,30,1
377,20/12/2015,La Liga,Matchweek 16,Home,Real Madrid,Rayo Vallecano,Y,Head,53,10-2,Yoel,James Rodríguez,7,30,1
378,20/12/2015,La Liga,Matchweek 16,Home,Real Madrid,Rayo Vallecano,Y,Right Foot,30,10-2,Yoel,Penalti,7,30,1
379,08/12/2015,Champions League,Group stage,Home,Real Madrid,Malmö FF,Y,Right Foot,50,8-0,Johan Wiland,Danilo,7,30,1
380,08/12/2015,Champions League,Group stage,Home,Real Madrid,Malmö FF,Y,Right Foot,58,8-0,Johan Wiland,Isco,7,30,1
381,08/12/2015,Champions League,Group stage,Home,Real Madrid,Malmö FF,Y,Right Foot,39,8-0,Johan Wiland,Free kick,7,30,1
382,08/12/2015,Champions League,Group stage,Home,Real Madrid,Malmö FF,Y,Left Foot,47,8-0,Johan Wiland,No assist,7,30,1
383,05/12/2015,La Liga,Matchweek 14,Home,Real Madrid,Getafe,Y,Right Foot,38,4-1,Vicente Guaita,Toni Kroos,7,30,1
384,29/11/2015,La Liga,Matchweek 13,Away,Real Madrid,Eibar,Y,Right Foot,82,2-0,Asier Riesgo,Penalti,7,30,1
385,25/11/2015,Champions League,Group stage,Away,Real Madrid,Shakhtar,Y,Right Foot,70,4-3,Andriy Pyatov,Gareth Bale,7,30,1
386,25/11/2015,Champions League,Group stage,Away,Real Madrid,Shakhtar,Y,Head,18,4-3,Andriy Pyatov,Gareth Bale,7,30,1
387,31/10/2015,La Liga,Matchweek 10,Home,Real Madrid,Las Palmas,Y,Head,14,3-1,Javi Varas,Marcelo,7,30,1
388,24/10/2015,La Liga,Matchweek 9,Away,Real Madrid,Celta Vigo,Y,Right Foot,8,3-1,Sergio Álvarez,Lucas Vázquez,7,30,1
389,17/10/2015,La Liga,Matchweek 8,Home,Real Madrid,Levante,Y,Right Foot,30,3-0,Rubén,Toni Kroos,7,30,1
390,30/09/2015,Champions League,Group stage,Away,Real Madrid,Malmö FF,Y*,Left Foot,90,2-0,Johan Wiland,Lucas Vázquez,7,30,1
391,30/09/2015,Champions League,Group stage,Away,Real Madrid,Malmö FF,Y*,Right Foot,29,2-0,Johan Wiland,Isco,7,30,1
392,15/09/2015,Champions League,Group stage,Home,Real Madrid,Shakhtar,Y,Head,81,4-0,Andriy Pyatov,No assist,7,30,1
393,15/09/2015,Champions League,Group stage,Home,Real Madrid,Shakhtar,Y,Right Foot,63,4-0,Andriy Pyatov,Penalti,7,30,1
394,15/09/2015,Champions League,Group stage,Home,Real Madrid,Shakhtar,Y,Right Foot,55,4-0,Andriy Pyatov,Penalti,7,30,1
395,12/09/2015,La Liga,Matchweek 3,Away,Real Madrid,Espanyol,Y,Left Foot,20,6-0,Pau López,Gareth Bale,7,30,1
396,12/09/2015,La Liga,Matchweek 3,Away,Real Madrid,Espanyol,Y,Right Foot,17,6-0,Pau López,Penalti,7,30,1
397,12/09/2015,La Liga,Matchweek 3,Away,Real Madrid,Espanyol,Y,Right Foot,7,6-0,Pau López,Luka Modric,7,30,1
398,12/09/2015,La Liga,Matchweek 3,Away,Real Madrid,Espanyol,Y,Right Foot,81,6-0,Pau López,Lucas Vázquez,7,30,1
399,12/09/2015,La Liga,Matchweek 3,Away,Real Madrid,Espanyol,Y,Right Foot,61,6-0,Pau López,Gareth Bale,7,30,1
400,13/06/2015,UEFA Euro Qualifying,Group stage,Away,Portugal,Armenia,Y*,Right Foot,58,2-1,Roman Berezovsky,Rui Patrício,7,30,1
401,13/06/2015,UEFA Euro Qualifying,Group stage,Away,Portugal,Armenia,Y*,Right Foot,55,2-1,Roman Berezovsky,Bruno Alves,7,30,1
402,13/06/2015,UEFA Euro Qualifying,Group stage,Away,Portugal,Armenia,Y*,Right Foot,29,2-1,Roman Berezovsky,Penalti,7,30,1
403,23/05/2015,La Liga,Matchweek 38,Home,Real Madrid,Getafe,Y,Right Foot,34,7-3,Jordi Codina,Penalti,7,30,1
404,23/05/2015,La Liga,Matchweek 38,Home,Real Madrid,Getafe,Y,Right Foot,32,7-3,Jordi Codina,Free kick,7,30,1
405,23/05/2015,La Liga,Matchweek 38,Home,Real Madrid,Getafe,Y,Head,13,7-3,Jordi Codina,Marcelo,7,30,1
406,17/05/2015,La Liga,Matchweek 37,Away,Real Madrid,Espanyol,Y,Right Foot,83,4-1,Kiko Casilla,Javier Hernández,7,30,1
407,17/05/2015,La Liga,Matchweek 37,Away,Real Madrid,Espanyol,Y,Right Foot,59,4-1,Kiko Casilla,Karim Benzema,7,30,1
408,17/05/2015,La Liga,Matchweek 37,Away,Real Madrid,Espanyol,Y,Head,90+1,4-1,Kiko Casilla,James Rodríguez,7,30,1
409,13/05/2015,Champions League,Semi-finals,Home,Real Madrid,Juventus,Y,Right Foot,23,1-1,Gianluigi Buffon,Penalti,7,30,1
410,05/05/2015,Champions League,Semi-finals,Away,Real Madrid,Juventus,Y,Head,27,1-2,Gianluigi Buffon,James Rodríguez,7,30,1
411,02/05/2015,La Liga,Matchweek 35,Away,Real Madrid,Sevilla,Y,Head,68,3-2,Sergio Rico,Gareth Bale,7,30,1
412,02/05/2015,La Liga,Matchweek 35,Away,Real Madrid,Sevilla,Y,Right Foot,37,3-2,Sergio Rico,Javier Hernández,7,30,1
413,02/05/2015,La Liga,Matchweek 35,Away,Real Madrid,Sevilla,Y,Head,36,3-2,Sergio Rico,Isco,7,30,1
414,18/04/2015,La Liga,Matchweek 32,Home,Real Madrid,Malaga,Y,Left Foot,90+2,3-1,Carlos Kameni,Javier Hernández,7,30,1
415,11/04/2015,La Liga,Matchweek 31,Home,Real Madrid,Eibar,Y,Right Foot,21,3-0,Xabi Irureta,Free kick,7,30,1
416,08/04/2015,La Liga,Matchweek 30,Away,Real Madrid,Rayo Vallecano,Y,Head,68,2-0,David Cobeño,Dani Carvajal,7,30,1
417,05/04/2015,La Liga,Matchweek 29,Home,Real Madrid,Granada,Y,Right Foot,30,9-1,Oier Olazábal,James Rodríguez,7,30,1
418,05/04/2015,La Liga,Matchweek 29,Home,Real Madrid,Granada,Y,Head,54,9-1,Oier Olazábal,Gareth Bale,7,30,1
419,05/04/2015,La Liga,Matchweek 29,Home,Real Madrid,Granada,Y,Head,89,9-1,Oier Olazábal,Luka Modric,7,30,1
420,05/04/2015,La Liga,Matchweek 29,Home,Real Madrid,Granada,Y,Right Foot,36,9-1,Oier Olazábal,No assist,7,30,1
421,05/04/2015,La Liga,Matchweek 29,Home,Real Madrid,Granada,Y,Right Foot,38,9-1,Oier Olazábal,Gareth Bale,7,30,1
422,22/03/2015,La Liga,Matchweek 28,Away,Real Madrid,Barcelona,Y,Right Foot,31,1-2,Claudio Bravo,Karim Benzema,7,30,1
423,10/03/2015,Champions League,Round of 16,Home,Real Madrid,Schalke 04,Y,Head,45,3-4,Timon Wellenreuther,Fabio Coentrao,7,30,1
424,10/03/2015,Champions League,Round of 16,Home,Real Madrid,Schalke 04,Y,Head,25,3-4,Timon Wellenreuther,Toni Kroos,7,30,1
425,01/03/2015,La Liga,Matchweek 25,Home,Real Madrid,Villarreal,Y,Right Foot,51,1-1,Sergio Asenjo,Penalti,7,30,1
426,22/02/2015,La Liga,Matchweek 24,Away,Real Madrid,Elche,Y,Head,69,2-0,Przemyslaw Tyton,Isco,7,30,1
427,18/02/2015,Champions League,Round of 16,Away,Real Madrid,Schalke 04,Y,Head,26,2-0,Timon Wellenreuther,Dani Carvajal,7,30,1
428,18/01/2015,La Liga,Matchweek 19,Away,Real Madrid,Getafe,Y,Head,79,3-0,Jordi Codina,James Rodríguez,7,29,1
429,18/01/2015,La Liga,Matchweek 19,Away,Real Madrid,Getafe,Y,Left Foot,63,3-0,Jordi Codina,Karim Benzema,7,29,1
430,15/01/2015,Copa del Rey,Round of 16,Home,Real Madrid,Atletico Madrid,Y,Head,54,2-2,Jan Oblak,Gareth Bale,7,29,1
431,04/01/2015,La Liga,Matchweek 17,Away,Real Madrid,Valencia,Y,Right Foot,14,1-2,Diego Alves,Penalti,7,29,1
432,12/12/2014,La Liga,Matchweek 15,Away,Real Madrid,Almería,Y,Right Foot,85,4-1,Rubén,Dani Carvajal,7,29,1
433,12/12/2014,La Liga,Matchweek 15,Away,Real Madrid,Almería,Y,Right Foot,81,4-1,Rubén,Karim Benzema,7,29,1
434,09/12/2014,Champions League,Group stage,Home,Real Madrid,Ludogorets,Y,Right Foot,20,4-0,Vladislav Stoyanov,Penalti,7,29,1
435,06/12/2014,La Liga,Matchweek 14,Home,Real Madrid,Celta Vigo,Y,Left Foot,82,3-0,Sergio Álvarez,Marcelo,7,29,1
436,06/12/2014,La Liga,Matchweek 14,Home,Real Madrid,Celta Vigo,Y,Right Foot,66,3-0,Sergio Álvarez,No assist,7,29,1
437,06/12/2014,La Liga,Matchweek 14,Home,Real Madrid,Celta Vigo,Y,Right Foot,35,3-0,Sergio Álvarez,Penalti,7,29,1
438,26/11/2014,Champions League,Group stage,Away,Real Madrid,Basel,Y,Left Foot,35,1-0,Tomas Vaclik,Karim Benzema,7,29,1
439,22/11/2014,La Liga,Matchweek 12,Away,Real Madrid,Eibar,Y,Right Foot,82,4-0,Xabi Irureta,Penalti,7,29,1
440,22/11/2014,La Liga,Matchweek 12,Away,Real Madrid,Eibar,Y,Right Foot,44,4-0,Xabi Irureta,Dani Carvajal,7,29,1
441,14/11/2014,UEFA Euro Qualifying,Group stage,Home,Portugal,Armenia,Y*,Right Foot,72,0-0,Roman Berezovsky,Nani,7,29,1
442,08/11/2014,La Liga,Matchweek 11,Home,Real Madrid,Rayo Vallecano,Y,Right Foot,83,5-1,Cristian Álvarez,Isco,7,29,1
443,01/11/2014,La Liga,Matchweek 10,Away,Real Madrid,Granada,Y,Right Foot,2,4-0,Roberto Jiménez,Karim Benzema,7,29,1
444,25/10/2014,La Liga,Matchweek 9,Home,Real Madrid,Barcelona,Y,Right Foot,34,3-1,Claudio Bravo,Penalti,7,29,1
445,22/10/2014,Champions League,Group stage,Away,Real Madrid,Liverpool,Y,Right Foot,23,3-0,Simon Mignolet,James Rodríguez,7,29,1
446,18/10/2014,La Liga,Matchweek 8,Away,Real Madrid,Levante,Y,Right Foot,61,5-0,Diego Mariño,Isco,7,29,1
447,18/10/2014,La Liga,Matchweek 8,Away,Real Madrid,Levante,Y,Right Foot,13,5-0,Diego Mariño,Penalti,7,29,1
448,14/10/2014,UEFA Euro Qualifying,Group stage,Away,Portugal,Denmark,Y*,Head,90+5,0-0,Kasper Schmeichel,Ricardo Quaresma,7,29,1
449,05/10/2014,La Liga,Matchweek 7,Home,Real Madrid,Athletic Club,Y,elbow,89,5-0,Gorka Iraizoz,Pepe,7,29,1
450,05/10/2014,La Liga,Matchweek 7,Home,Real Madrid,Athletic Club,Y,Right Foot,55,5-0,Gorka Iraizoz,Gareth Bale,7,29,1
451,05/10/2014,La Liga,Matchweek 7,Home,Real Madrid,Athletic Club,Y,Head,2,5-0,Gorka Iraizoz,Gareth Bale,7,29,1
452,01/10/2014,Champions League,Group stage,Away,Real Madrid,Ludogorets,Y,Right Foot,25,2-1,Vladislav Stoyanov,Penalti,7,29,1
453,27/09/2014,La Liga,Matchweek 6,Away,Real Madrid,Villarreal,Y,Right Foot,40,2-0,Sergio Asenjo,Karim Benzema,7,29,1
454,23/09/2014,La Liga,Matchweek 5,Home,Real Madrid,Elche,Y,Right Foot,90+2,5-1,Manu Herrera,Gareth Bale,7,29,1
455,23/09/2014,La Liga,Matchweek 5,Home,Real Madrid,Elche,Y,Right Foot,80,5-1,Manu Herrera,Penalti,7,29,1
456,23/09/2014,La Liga,Matchweek 5,Home,Real Madrid,Elche,Y,Head,32,5-1,Manu Herrera,Marcelo,7,29,1
457,23/09/2014,La Liga,Matchweek 5,Home,Real Madrid,Elche,Y,Right Foot,28,5-1,Manu Herrera,Penalti,7,29,1
458,20/09/2014,La Liga,Matchweek 4,Away,Real Madrid,La Coruña,Y,Left Foot,78,8-2,Germán Lux,James Rodríguez,7,29,1
459,20/09/2014,La Liga,Matchweek 4,Away,Real Madrid,La Coruña,Y,Left Foot,41,8-2,Germán Lux,Karim Benzema,7,29,1
460,20/09/2014,La Liga,Matchweek 4,Away,Real Madrid,La Coruña,Y,Head,29,8-2,Germán Lux,Álvaro Arbeola,7,29,1
461,16/09/2014,Champions League,Group stage,Home,Real Madrid,Basel,Y,Right Foot,31,5-1,Tomas Vaclik,Gareth Bale,7,29,1
462,13/09/2014,La Liga,Matchweek 3,Home,Real Madrid,Atletico Madrid,Y,Right Foot,26,2-1,Miguel Ángel Moyá,Penalti,7,29,1
463,25/08/2014,La Liga,Matchweek 1,Home,Real Madrid,Codoba,Y,Right Foot,90,2-0,Juan Carlos,Isco,7,29,1
464,12/08/2014,Super Cup,UEFA Super Cup,Neutral,Real Madrid,Sevilla,Y,Left Foot,49,2-0,Beto,Karim Benzema,7,29,1
465,12/08/2014,Super Cup,UEFA Super Cup,Neutral,Real Madrid,Sevilla,Y,Right Foot,30,2-0,Beto,Gareth Bale,7,29,1
466,26/06/2014,World Cup,Group stage,Neutral,Portugal,Ghana,Y,Left Foot,80,1-1,Fatau Dauda,No assist,7,29,1
467,24/05/2014,Champions League,Final,Neutral,Real Madrid,Atletico Madrid,Y,Right Foot,120,4-1,Thibaut Courtois,Penalti,7,29,1
468,04/05/2014,La Liga,Matchweek 36,Home,Real Madrid,Valencia,Y,Right Foot,89,2-2,Diego Alves,Angel Di María,7,29,1
469,29/04/2014,Champions League,Semi-finals,Away,Real Madrid,Bayern Munich,Y,Right Foot,90,4-0,Manuel Neuer,Free kick,7,29,1
470,29/04/2014,Champions League,Semi-finals,Away,Real Madrid,Bayern Munich,Y,Right Foot,34,4-0,Manuel Neuer,Gareth Bale,7,29,1
471,26/04/2014,La Liga,Matchweek 35,Home,Real Madrid,Osasuna,Y,Right Foot,52,4-0,Andrés Fernández,Isco,7,29,1
472,26/04/2014,La Liga,Matchweek 35,Home,Real Madrid,Osasuna,Y,Right Foot,6,4-0,Andrés Fernández,Angel Di María,7,29,1
473,02/04/2014,Champions League,Quarter-finals,Home,Real Madrid,Dortmund,Y,Left Foot,57,3-0,Weidenfeller,Luka Modric,7,29,1
474,29/03/2014,La Liga,Matchweek 31,Home,Real Madrid,Rayo Vallecano,Y,Right Foot,14,5-0,Rubén,Gareth Bale,7,29,1
475,26/03/2014,La Liga,Matchweek 30,Away,Real Madrid,Sevilla,Y,Right Foot,14,1-2,Beto,Free kick,7,29,1
476,23/03/2014,La Liga,Matchweek 29,Home,Real Madrid,Barcelona,Y,Right Foot,55,3-4,Víctor Valdés,Penalti,7,29,1
477,18/03/2014,Champions League,Round of 16,Home,Real Madrid,Schalke 04,Y,Right Foot,73,3-1,Ralf Fahrmann,Free kick,7,29,1
478,18/03/2014,Champions League,Round of 16,Home,Real Madrid,Schalke 04,Y,Right Foot,21,3-1,Ralf Fahrmann,Gareth Bale,7,29,1
479,15/03/2014,La Liga,Matchweek 28,Away,Real Madrid,Malaga,Y,Right Foot,22,1-0,Willy Caballero,Gareth Bale,7,29,1
480,09/03/2014,La Liga,Matchweek 27,Home,Real Madrid,Levante,Y,Head,10,3-0,Keylor Navas,Angel Di María,7,29,1
481,05/03/2014,Friendlies (M),Frendly,Home,Portugal,Cameroon,Y*,Right Foot,83,4-1,Guy N'dy Assembé,Miguel Veloso,7,29,1
482,05/03/2014,Friendlies (M),Frendly,Home,Portugal,Cameroon,Y*,Right Foot,21,4-1,Charles Itandje,Joao Pereira,7,29,1
483,02/03/2014,La Liga,Matchweek 26,Away,Real Madrid,Atletico Madrid,Y,Right Foot,81,2-2,Thibaut Courtois,Dani Carvajal,7,29,1
484,26/02/2014,Champions League,Round of 16,Away,Real Madrid,Schalke 04,Y,Right Foot,89,6-1,Ralf Fahrmann,Karim Benzema,7,29,1
485,26/02/2014,Champions League,Round of 16,Away,Real Madrid,Schalke 04,Y,Left Foot,52,6-1,Ralf Fahrmann,Gareth Bale,7,29,1
486,11/02/2014,Copa del Rey,Semi-finals,Away,Real Madrid,Atletico Madrid,Y,Right Foot,15,2-0,Daniel Aranzubia,Penalti,7,29,1
487,11/02/2014,Copa del Rey,Semi-finals,Away,Real Madrid,Atletico Madrid,Y,Right Foot,6,2-0,Daniel Aranzubia,Penalti,7,29,1
488,25/01/2014,La Liga,Matchweek 21,Home,Real Madrid,Granada,Y,Left Foot,57,2-0,Roberto Jiménez,Luka Modric,7,28,1
489,18/01/2014,La Liga,Matchweek 20,Away,Real Madrid,Betis,Y,Right Foot,10,5-0,Stephan Andersen,No assist,7,28,1
490,15/01/2014,Copa del Rey,Round of 16,Away,Real Madrid,Osasuna,Y,Right Foot,22,2-0,Andrés Fernández,Free kick,7,28,1
491,06/01/2014,La Liga,Matchweek 18,Home,Real Madrid,Celta Vigo,Y,Right Foot,89,3-0,Yoel,Gareth Bale,7,28,1
492,06/01/2014,La Liga,Matchweek 18,Home,Real Madrid,Celta Vigo,Y,Right Foot,82,3-0,Yoel,Dani Carvajal,7,28,1
493,22/12/2013,La Liga,Matchweek 17,Away,Real Madrid,Valencia,Y,Head,39,3-2,Vicente Guaita,Angel Di María,7,28,1
494,10/12/2013,Champions League,Group stage,Away,Real Madrid,FC Copenhagen,Y,Right Foot,48,2-0,Johan Sellberg-Wiland,Pepe,7,28,1
495,23/11/2013,La Liga,Matchweek 14,Away,Real Madrid,Almería,Y,Left Foot,3,5-0,Esteban,Isco,7,28,1
496,19/11/2013,WCQ,Second round,Away,Portugal,Sweden,Y*,Right Foot,79,2-2,Andreas Isaksson,Joao Moutinho,7,28,1
497,19/11/2013,WCQ,Second round,Away,Portugal,Sweden,Y*,Left Foot,77,2-2,Andreas Isaksson,Hugo Almeida,7,28,1
498,19/11/2013,WCQ,Second round,Away,Portugal,Sweden,Y*,Left Foot,50,2-2,Andreas Isaksson,Joao Moutinho,7,28,1
499,15/11/2013,WCQ,Second round,Home,Portugal,Sweden,Y*,Head,82,0-0,Andreas Isaksson,Miguel Veloso,7,28,1
500,09/11/2013,La Liga,Matchweek 13,Home,Real Madrid,Real Sociedad,Y,Right Foot,76,5-1,Claudio Bravo,Free kick,7,28,1
501,09/11/2013,La Liga,Matchweek 13,Home,Real Madrid,Real Sociedad,Y,Right Foot,26,5-1,Claudio Bravo,Penalti,7,28,1
502,09/11/2013,La Liga,Matchweek 13,Home,Real Madrid,Real Sociedad,Y,Right Foot,11,5-1,Claudio Bravo,Karim Benzema,7,28,1
503,05/11/2013,Champions League,Group stage,Away,Real Madrid,Juventus,Y,Right Foot,52,2-2,Gianluigi Buffon,Karim Benzema,7,28,1
504,02/11/2013,La Liga,Matchweek 12,Away,Real Madrid,Rayo Vallecano,Y,Right Foot,48,3-2,Rubén,Gareth Bale,7,28,1
505,02/11/2013,La Liga,Matchweek 12,Away,Real Madrid,Rayo Vallecano,Y,Right Foot,2,3-2,Rubén,Luka Modric,7,28,1
506,30/10/2013,La Liga,Matchweek 11,Home,Real Madrid,Sevilla,Y,Right Foot,71,7-3,Beto,Karim Benzema,7,28,1
507,30/10/2013,La Liga,Matchweek 11,Home,Real Madrid,Sevilla,Y,Right Foot,60,7-3,Beto,Gareth Bale,7,28,1
508,30/10/2013,La Liga,Matchweek 11,Home,Real Madrid,Sevilla,Y,Right Foot,31,7-3,Beto,Penalti,7,28,1
509,23/10/2013,Champions League,Group stage,Home,Real Madrid,Juventus,Y,Right Foot,29,2-1,Gianluigi Buffon,Penalti,7,28,1
510,23/10/2013,Champions League,Group stage,Home,Real Madrid,Juventus,Y,Right Foot,4,2-1,Gianluigi Buffon,Angel Di María,7,28,1
511,19/10/2013,La Liga,Matchweek 9,Home,Real Madrid,Malaga,Y,Right Foot,89,2-0,Willy Caballero,No assist,7,28,1
512,05/10/2013,La Liga,Matchweek 8,Away,Real Madrid,Levante,Y,Right Foot,90,3-2,Keylor Navas,No assist,7,28,1
513,02/10/2013,Champions League,Group stage,Home,Real Madrid,FC Copenhagen,Y,Head,65,4-0,Johan Sellberg-Wiland,Angel Di María,7,28,1
514,02/10/2013,Champions League,Group stage,Home,Real Madrid,FC Copenhagen,Y,Head,21,4-0,Johan Sellberg-Wiland,Marcelo,7,28,1
515,25/09/2013,La Liga,Matchweek 6,Away,Real Madrid,Elche,Y,Right Foot,88,2-1,Manu Herrera,Penalti,7,28,1
516,25/09/2013,La Liga,Matchweek 6,Away,Real Madrid,Elche,Y,Right Foot,51,2-1,Manu Herrera,Free kick,7,28,1
517,22/09/2013,La Liga,Matchweek 5,Home,Real Madrid,Getafe,Y,Right Foot,89,5-1,Miguel Ángel Moyá,Sami Khedira,7,28,1
518,22/09/2013,La Liga,Matchweek 5,Home,Real Madrid,Getafe,Y,Right Foot,33,5-1,Miguel Ángel Moyá,Penalti,7,28,1
519,17/09/2013,Champions League,Group stage,Away,Real Madrid,Galatasaray,Y,Left Foot,90,6-1,Fernando Muslera,Karim Benzema,7,28,1
520,17/09/2013,Champions League,Group stage,Away,Real Madrid,Galatasaray,Y,Right Foot,66,6-1,Fernando Muslera,No assist,7,28,1
521,17/09/2013,Champions League,Group stage,Away,Real Madrid,Galatasaray,Y,Left Foot,63,6-1,Fernando Muslera,Isco,7,28,1
522,14/09/2013,La Liga,Matchweek 4,Away,Real Madrid,Villarreal,Y,Right Foot,63,2-2,Sergio Asenjo,No assist,7,28,1
523,06/09/2013,WCQ,First round,Away,Portugal,Northern Ireland,Y*,Right Foot,83,3-2,Roy Carroll,Free kick,7,28,1
524,06/09/2013,WCQ,First round,Away,Portugal,Northern Ireland,Y*,Head,77,3-2,Roy Carroll,Fabio Coentrao,7,28,1
525,06/09/2013,WCQ,First round,Away,Portugal,Northern Ireland,Y*,Head,68,3-2,Roy Carroll,Joao Moutinho,7,28,1
526,01/09/2013,La Liga,Matchweek 3,Home,Real Madrid,Athletic Club,Y,Head,45,3-1,Iago Herrerín,Angel Di María,7,28,1
527,14/08/2013,International Frendly,Frendly,Neutral,Portugal,Netherlands,Y*,Left Foot,87,sin dato,M. Vorm,Pepe,7,28,1
528,10/06/2013,International Frendly,Frendly,Neutral,Portugal,Croacia,Y*,Left Foot,36,sin dato,D. Sbasic,Silvestre Varela,7,28,1
529,17/05/2013,Copa del Rey,Final,Home,Real Madrid,Atletico Madrid,Y,Head,14,1-2,Thibaut Courtois,Mesut Ozil,7,28,1
530,08/05/2013,La Liga,Matchweek 36,Home,Real Madrid,Malaga,Y,Right Foot,26,6-2,Willy Caballero,Xabi Alonso,7,28,1
531,04/05/2013,La Liga,Matchweek 34,Home,Real Madrid,Valladolid,Y,Head,70,3-3,Jaime,Mesut Ozil,7,28,1
532,04/05/2013,La Liga,Matchweek 34,Home,Real Madrid,Valladolid,Y,Head,32,3-3,Jaime,Angel Di María,7,28,1
533,24/04/2013,Champions League,Semi-finals,Away,Real Madrid,Dortmund,Y,Right Foot,43,3-2,Roman Weidenfeller,Gonzalo Higuaín,7,28,1
534,14/04/2013,La Liga,Matchweek 31,Away,Real Madrid,Athletic Club,Y,Head,68,3-0,Gorka Iraizoz,Xabi Alonso,7,28,1
535,14/04/2013,La Liga,Matchweek 31,Away,Real Madrid,Athletic Club,Y,Right Foot,2,3-0,Gorka Iraizoz,Free kick,7,28,1
536,09/04/2013,Champions League,Quarter-finals,Away,Real Madrid,Galatasaray,Y,Right Foot,90+2,2-3,Fernando Muslera,Karim Benzema,7,28,1
537,09/04/2013,Champions League,Quarter-finals,Away,Real Madrid,Galatasaray,Y,Right Foot,7,2-3,Fernando Muslera,Sami Khedira,7,28,1
538,06/04/2013,La Liga,Matchweek 30,Home,Real Madrid,Levante,N,Right Foot,84,5-1,Gustavo Munua,Gonzalo Higuaín,7,28,1
539,03/04/2013,Champions League,Quarter-finals,Home,Real Madrid,Galatasaray,Y,Left Foot,9,3-0,Fernando Muslera,Mesut Ozil,7,28,1
540,30/03/2013,La Liga,Matchweek 29,Away,Real Madrid,Zaragoza,Y,Left Foot,38,1-1,Roberto Jiménez,No assist,7,28,1
541,16/03/2013,La Liga,Matchweek 28,Home,Real Madrid,Mallorca,Y,Head,51,5-2,Dudu Aouate,Mesut Ozil,7,28,1
542,10/03/2013,La Liga,Matchweek 27,Away,Real Madrid,Celta Vigo,Y,Right Foot,71,2-1,Javi Varas,Penalti,7,28,1
543,10/03/2013,La Liga,Matchweek 27,Away,Real Madrid,Celta Vigo,Y,Left Foot,61,2-1,Javi Varas,Jose Callejón,7,28,1
544,05/03/2013,Champions League,Round of 16,Away,Real Madrid,Manchester Utd,Y,Right Foot,69,2-1,David de Gea,Gonzalo Higuaín,7,28,1
545,26/02/2013,Copa del Rey,Semi-finals,Away,Real Madrid,Barcelona,Y,Left Foot,12,3-1,Pinto,Angel Di María,7,28,1
546,26/02/2013,Copa del Rey,Semi-finals,Away,Real Madrid,Barcelona,Y,Right Foot,12,3-1,Pinto,Penalti,7,28,1
547,13/02/2013,Champions League,Round of 16,Home,Real Madrid,Manchester Utd,Y,Head,30,2-1,David de Gea,Angel Di María,7,28,1
548,09/02/2013,La Liga,Matchweek 23,Home,Real Madrid,Sevilla,Y,Right Foot,58,4-1,Beto,Gonzalo Higuaín,7,28,1
549,09/02/2013,La Liga,Matchweek 23,Home,Real Madrid,Sevilla,Y,Left Foot,46,4-1,Beto,Álvaro Arbeola,7,28,1
550,09/02/2013,La Liga,Matchweek 23,Home,Real Madrid,Sevilla,Y,Left Foot,25,4-1,Beto,Kaká,7,28,1
551,06/02/2013,International Frendly,Frendly,Home,Portugal,Ecuador,Y,Right Foot,23,sin dato,M. Banguera,Fabio Coentrao,7,28,1
552,27/01/2013,La Liga,Matchweek 21,Home,Real Madrid,Getafe,Y,Right Foot,71,4-0,Miguel Ángel Moyá,Penalti,7,27,1
553,27/01/2013,La Liga,Matchweek 21,Home,Real Madrid,Getafe,Y,Head,65,4-0,Miguel Ángel Moyá,Angel Di María,7,27,1
554,27/01/2013,La Liga,Matchweek 21,Home,Real Madrid,Getafe,Y,Left Foot,62,4-0,Miguel Ángel Moyá,Mesut Ozil,7,27,1
555,20/01/2013,La Liga,Matchweek 20,Away,Real Madrid,Valencia,Y,Right Foot,41,5-0,Diego Alves,Mesut Ozil,7,27,1
556,20/01/2013,La Liga,Matchweek 20,Away,Real Madrid,Valencia,Y,Left Foot,35,5-0,Diego Alves,Fabio Coentrao,7,27,1
557,09/01/2013,Copa del Rey,Round of 16,Home,Real Madrid,Celta Vigo,Y,Left Foot,24,4-0,Alvarez,Luka Modric,7,27,1
558,09/01/2013,Copa del Rey,Round of 16,Home,Real Madrid,Celta Vigo,Y,Left Foot,87,4-0,Alvarez,Gonzalo Higuaín,7,27,1
