,Date,Competition,Round,Venue,Squad,Opponent,Start,Body Part,Minute,Score,Goalkeeper,Assist,Goal,Age,Jersey,Pos.,Match Result
169,2010-04-04,La Liga,Matchweek 30,Away,Real Madrid,Racing Sant,Y,Right Foot,23,2-0,Fabio Coltorti,Penalty,1,25,9,CF,Win
170,2010-04-15,La Liga,Matchweek 32,Away,Real Madrid,Almería,Y,Left Foot,27,2-1,Diego Alves,No assist,1,25,9,LW,Win
171,2010-04-18,La Liga,Matchweek 33,Home,Real Madrid,Valencia,Y,Right Foot,78,2-0,César Sánchez,Marcelo ,1,25,9,RW,Win
172,2010-05-02,La Liga,Matchweek 35,Home,Real Madrid,Osasuna,Y,Head,89,3-2,Ricardo,Gonzalo Higuaín,1,25,9,CF,Win
173,2010-05-02,La Liga,Matchweek 35,Home,Real Madrid,Osasuna,Y,Right Foot,24,3-2,Ricardo,No assist,1,25,9,CF,Win
174,2010-05-05,La Liga,Matchweek 36,Away,Real Madrid,Mallorca,Y,Right Foot,72,4-1,Dudu Aouate,No assist,1,25,9,CF,Win
175,2010-05-05,La Liga,Matchweek 36,Away,Real Madrid,Mallorca,Y,Right Foot,57,4-1,Dudu Aouate,Sergio Ramos,1,25,9,CF,Win
176,2010-05-05,La Liga,Matchweek 36,Away,Real Madrid,Mallorca,Y,Right Foot,26,4-1,Dudu Aouate,Sergio Ramos,1,25,9,CF,Win
177,2010-05-08,La Liga,Matchweek 37,Home,Real Madrid,Athletic Club,Y,Right Foot,22,5-1,Gorka Iraizoz,Penalty,1,25,9,CF,Win
178,2010-06-21,World Cup,Group stage,Neutral,Portugal,Korea DPR,Y,Right Foot,87,5-0,Ri Myong-guk,Liedson,1,25,9,LW,Win
179,2010-09-21,La Liga,Matchweek 4,Home,Real Madrid,Espanyol,Y,Right Foot,28,3-0,Carlos Kameni,Penalty,1,25,9,LW,Win
180,2010-10-03,La Liga,Matchweek 6,Home,Real Madrid,La Coruña,Y,Left Foot,89,6-1,Manu,Xabi Alonso,1,25,7,LW,Win
181,2010-10-03,La Liga,Matchweek 6,Home,Real Madrid,La Coruña,Y,Head,4,6-1,Manu,Mesut Ozil,1,25,7,LW,Win
182,2010-10-08,UEFA Euro Qualifying,Group stage,Home,Portugal,Denmark,Y*,Left Foot,85,2-1,Anders Lindegaard,Nani,1,25,7,LW,Win
